Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
dayTraining/dayClip13--00000.jpg;go;472;209;481;218;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip13--00000.jpg;go;623;220;630;230;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip13--00000.jpg;go;896;332;904;341;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip13--00001.jpg;go;470;204;479;212;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip13--00001.jpg;go;625;218;633;224;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip13--00001.jpg;go;903;330;912;338;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip13--00002.jpg;go;912;327;920;336;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;2;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;2
dayTraining/dayClip13--00002.jpg;go;628;212;636;220;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;2;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;2
dayTraining/dayClip13--00002.jpg;go;470;198;479;206;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;2;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;2
dayTraining/dayClip13--00003.jpg;go;920;325;930;334;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip13--00003.jpg;go;630;208;638;215;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip13--00003.jpg;go;468;194;477;202;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip13--00004.jpg;go;633;204;641;210;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip13--00004.jpg;go;467;189;476;197;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip13--00004.jpg;go;931;323;940;333;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip13--00005.jpg;go;635;200;644;207;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;5;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;5
dayTraining/dayClip13--00005.jpg;go;466;185;475;193;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;5;dayTraining/dayClip13/dayClip13Shutter0.000200-Gain-0.mp4;5
