Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
nightTraining/nightClip3--00000.jpg;go;617;364;624;372;nightTraining/nightClip3/clip3.mp4;0;nightTraining/nightClip3/clip3.mp4;0
nightTraining/nightClip3--00000.jpg;go;810;330;820;342;nightTraining/nightClip3/clip3.mp4;0;nightTraining/nightClip3/clip3.mp4;0
nightTraining/nightClip3--00000.jpg;go;874;365;882;377;nightTraining/nightClip3/clip3.mp4;0;nightTraining/nightClip3/clip3.mp4;0
nightTraining/nightClip3--00000.jpg;stop;889;241;905;259;nightTraining/nightClip3/clip3.mp4;0;nightTraining/nightClip3/clip3.mp4;0
nightTraining/nightClip3--00000.jpg;stop;1060;322;1077;340;nightTraining/nightClip3/clip3.mp4;0;nightTraining/nightClip3/clip3.mp4;0
nightTraining/nightClip3--00000.jpg;stopLeft;777;242;791;257;nightTraining/nightClip3/clip3.mp4;0;nightTraining/nightClip3/clip3.mp4;0
nightTraining/nightClip3--00001.jpg;go;615;365;621;372;nightTraining/nightClip3/clip3.mp4;1;nightTraining/nightClip3/clip3.mp4;1
nightTraining/nightClip3--00001.jpg;go;810;332;817;341;nightTraining/nightClip3/clip3.mp4;1;nightTraining/nightClip3/clip3.mp4;1
nightTraining/nightClip3--00001.jpg;go;874;366;881;376;nightTraining/nightClip3/clip3.mp4;1;nightTraining/nightClip3/clip3.mp4;1
nightTraining/nightClip3--00001.jpg;stop;887;237;906;260;nightTraining/nightClip3/clip3.mp4;1;nightTraining/nightClip3/clip3.mp4;1
nightTraining/nightClip3--00001.jpg;stop;1064;322;1078;339;nightTraining/nightClip3/clip3.mp4;1;nightTraining/nightClip3/clip3.mp4;1
nightTraining/nightClip3--00001.jpg;stopLeft;778;240;789;254;nightTraining/nightClip3/clip3.mp4;1;nightTraining/nightClip3/clip3.mp4;1
nightTraining/nightClip3--00002.jpg;go;610;358;620;366;nightTraining/nightClip3/clip3.mp4;2;nightTraining/nightClip3/clip3.mp4;2
nightTraining/nightClip3--00002.jpg;go;808;325;815;334;nightTraining/nightClip3/clip3.mp4;2;nightTraining/nightClip3/clip3.mp4;2
nightTraining/nightClip3--00002.jpg;go;873;360;879;368;nightTraining/nightClip3/clip3.mp4;2;nightTraining/nightClip3/clip3.mp4;2
