Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
dayTraining/dayClip7--00000.jpg;go;711;387;715;393;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip7--00000.jpg;go;912;462;918;467;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip7--00001.jpg;go;712;388;716;392;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip7--00001.jpg;go;916;463;922;468;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip7--00002.jpg;go;713;387;717;391;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;2;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;2
dayTraining/dayClip7--00002.jpg;go;920;463;924;467;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;2;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;2
dayTraining/dayClip7--00003.jpg;go;714;386;718;390;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip7--00003.jpg;go;924;464;929;468;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip7--00004.jpg;go;715;384;719;389;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip7--00004.jpg;go;928;464;932;468;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip7--00005.jpg;go;716;384;720;388;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;5;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;5
dayTraining/dayClip7--00005.jpg;go;932;463;936;468;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;5;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;5
dayTraining/dayClip7--00006.jpg;go;716;379;721;384;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;6;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;6
dayTraining/dayClip7--00006.jpg;go;936;460;940;464;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;6;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;6
dayTraining/dayClip7--00007.jpg;go;716;375;720;379;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;7;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;7
dayTraining/dayClip7--00007.jpg;go;939;456;945;460;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;7;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;7
dayTraining/dayClip7--00008.jpg;go;717;368;721;373;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;8;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;8
dayTraining/dayClip7--00008.jpg;go;944;451;949;456;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;8;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;8
dayTraining/dayClip7--00009.jpg;go;718;369;722;373;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;9;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;9
dayTraining/dayClip7--00009.jpg;go;949;452;954;457;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;9;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;9
dayTraining/dayClip7--00010.jpg;go;720;367;724;372;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;10;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;10
dayTraining/dayClip7--00010.jpg;go;954;452;958;456;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;10;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;10
dayTraining/dayClip7--00011.jpg;go;720;366;724;370;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;11;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;11
dayTraining/dayClip7--00011.jpg;go;958;452;962;457;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;11;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;11
dayTraining/dayClip7--00012.jpg;go;721;365;725;369;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;12;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;12
dayTraining/dayClip7--00012.jpg;go;962;452;968;457;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;12;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;12
dayTraining/dayClip7--00013.jpg;go;722;364;726;368;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;13;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;13
